"Treatment","Dried_mass_g","Growth_rate_mm"
"Control",33.9243317146655,8.6
"Control",35.9858151040557,NA
"Control",33.3276021804177,NA
"Control",35.1213083694989,NA
"Control",37.2066239295045,17.5
"Control",35.2928771157913,11.6
"Control",36.8370376341607,9.5
"Control",38.3375463071401,13.2
"Control",30.5515775284783,10.6
"Control",NA,13.2
"Control",34.0433812549896,18.5
"Control",34.1655020094746,5.3
"Control",34.385654970367,7.6
"Control",34.6845966597183,12.7
"Control",34.5578911084897,5.8
"Control",40.2844409495079,21.8
"Control",NA,17
"Control",36.1850378637996,11.9
"Control",33.1361227262266,12.8
"Control",35.6548454957719,9.6
"Level 1",NA,15.3
"Level 1",42.548297015788,13.4
"Level 1",NA,19
"Level 1",44.6079054714541,NA
"Level 1",40.659999592515,14.1
"Level 1",37.4647837280878,12.8
"Level 1",NA,16
"Level 1",NA,14.8
"Level 1",44.9222327782391,18.5
"Level 1",44.0932967381459,13.7
"Level 1",44.8389655935668,18
"Level 1",NA,12.1
"Level 1",42.17761310715,14.3
"Level 1",NA,NA
"Level 1",43.6470732009897,18.2
"Level 1",38.5154562935522,NA
"Level 1",41.0873156851157,8
"Level 1",43.7267435500668,12.2
"Level 1",41.4124976694622,NA
"Level 1",43.2474960290576,14.3
"Level 2",NA,6
"Level 2",46.1964094235491,14.3
"Level 2",47.2242325421307,13.8
"Level 2",NA,21.6
"Level 2",NA,18.3
"Level 2",NA,NA
"Level 2",51.7240496949552,13.1
"Level 2",48.8493660188323,18.5
"Level 2",48.1621763288947,10.4
"Level 2",47.7585651012473,NA
"Level 2",NA,16.9
"Level 2",47.0859418982265,14.3
"Level 2",48.5086110602552,21.5
"Level 2",50.3679385560977,20.2
"Level 2",NA,21.8
"Level 2",48.4491691620442,13.5
"Level 2",NA,16
"Level 2",50.4276490061217,14
"Level 2",53.4259973997303,NA
"Level 2",53.7707701903118,NA
